NumCells	NumSamples	CellsPerSample	SampleDepth	Generation	Identity	DriverIdentity	Parent	Population	BirthRate	MigrationRate	OriginTime	DriverMutations	MigrationMutations	Methylations	Demethylations
4229	1	-1	-1	58.000473	0	0	0	4229	1.000000	0.000000	0.000000	0	0	0	0
4709	1	-1	-1	59.000492	0	0	0	4709	1.000000	0.000000	0.000000	0	0	0	0
5251	1	-1	-1	60.000500	0	0	0	5251	1.000000	0.000000	0.000000	0	0	0	0
5771	1	-1	-1	61.000515	0	0	0	5771	1.000000	0.000000	0.000000	0	0	0	0
6245	1	-1	-1	62.000538	0	0	0	6245	1.000000	0.000000	0.000000	0	0	0	0
6793	1	-1	-1	63.000538	0	0	0	6793	1.000000	0.000000	0.000000	0	0	0	0
7339	1	-1	-1	64.000542	0	0	0	7339	1.000000	0.000000	0.000000	0	0	0	0
7937	1	-1	-1	65.000542	0	0	0	7937	1.000000	0.000000	0.000000	0	0	0	0
8722	1	-1	-1	66.000542	0	0	0	8722	1.000000	0.000000	0.000000	0	0	0	0
9598	1	-1	-1	67.000557	0	0	0	9598	1.000000	0.000000	0.000000	0	0	0	0
10557	1	-1	-1	68.000557	0	0	0	10557	1.000000	0.000000	0.000000	0	0	0	0
11714	1	-1	-1	69.000565	0	0	0	11714	1.000000	0.000000	0.000000	0	0	0	0
12831	1	-1	-1	70.000572	0	0	0	12830	1.000000	0.000000	0.000000	0	0	0	0
14078	1	-1	-1	71.000572	0	0	0	14078	1.000000	0.000000	0.000000	0	0	0	0
15410	1	-1	-1	72.000572	0	0	0	15408	1.000000	0.000000	0.000000	0	0	0	0
17086	1	-1	-1	73.000580	0	0	0	17084	1.000000	0.000000	0.000000	0	0	0	0
18947	1	-1	-1	74.000595	0	0	0	18943	1.000000	0.000000	0.000000	0	0	0	0
20464	1	-1	-1	75.000618	0	0	0	20459	1.000000	0.000000	0.000000	0	0	0	0
22509	1	-1	-1	76.000618	0	0	0	22502	1.000000	0.000000	0.000000	0	0	0	0
24573	1	-1	-1	77.000626	0	0	0	24568	1.000000	0.000000	0.000000	0	0	0	0
26378	1	-1	-1	78.000633	0	0	0	26361	1.000000	0.000000	0.000000	0	0	0	0
26378	1	-1	-1	78.000633	6	6	0	17	1.000000	0.000000	71.373604	1	0	0	0
28838	1	-1	-1	79.000633	0	0	0	28823	1.000000	0.000000	0.000000	0	0	0	0
28838	1	-1	-1	79.000633	6	6	0	12	1.000000	0.000000	71.373604	1	0	0	0
30854	1	-1	-1	80.000633	0	0	0	30831	1.000000	0.000000	0.000000	0	0	0	0
30854	1	-1	-1	80.000633	6	6	0	21	1.000000	0.000000	71.373604	1	0	0	0
33194	1	-1	-1	81.000648	0	0	0	33160	1.000000	0.000000	0.000000	0	0	0	0
33194	1	-1	-1	81.000648	6	6	0	28	1.000000	0.000000	71.373604	1	0	0	0
35583	1	-1	-1	82.000664	0	0	0	35534	1.000000	0.000000	0.000000	0	0	0	0
35583	1	-1	-1	82.000664	6	6	0	40	1.000000	0.000000	71.373604	1	0	0	0
35583	1	-1	-1	82.000664	11	11	0	9	1.000000	0.000000	78.494728	1	0	0	0
37995	1	-1	-1	83.000664	0	0	0	37930	1.000000	0.000000	0.000000	0	0	0	0
37995	1	-1	-1	83.000664	6	6	0	56	1.000000	0.000000	71.373604	1	0	0	0
37995	1	-1	-1	83.000664	11	11	0	9	1.000000	0.000000	78.494728	1	0	0	0
41166	1	-1	-1	84.000671	0	0	0	41103	1.000000	0.000000	0.000000	0	0	0	0
41166	1	-1	-1	84.000671	6	6	0	54	1.000000	0.000000	71.373604	1	0	0	0
41166	1	-1	-1	84.000671	11	11	0	9	1.000000	0.000000	78.494728	1	0	0	0
43768	1	-1	-1	85.000687	0	0	0	43712	1.000000	0.000000	0.000000	0	0	0	0
43768	1	-1	-1	85.000687	6	6	0	50	1.000000	0.000000	71.373604	1	0	0	0
43768	1	-1	-1	85.000687	11	11	0	6	1.000000	0.000000	78.494728	1	0	0	0
46242	1	-1	-1	86.000694	0	0	0	46175	1.000000	0.000000	0.000000	0	0	0	0
46242	1	-1	-1	86.000694	6	6	0	56	1.000000	0.000000	71.373604	1	0	0	0
46242	1	-1	-1	86.000694	11	11	0	11	1.000000	0.000000	78.494728	1	0	0	0
49273	1	-1	-1	87.000702	0	0	0	49228	1.000000	0.000000	0.000000	0	0	0	0
49273	1	-1	-1	87.000702	6	6	0	35	1.000000	0.000000	71.373604	1	0	0	0
49273	1	-1	-1	87.000702	11	11	0	10	1.000000	0.000000	78.494728	1	0	0	0
51959	1	-1	-1	88.000725	0	0	0	51912	1.000000	0.000000	0.000000	0	0	0	0
51959	1	-1	-1	88.000725	6	6	0	42	1.000000	0.000000	71.373604	1	0	0	0
51959	1	-1	-1	88.000725	11	11	0	3	1.000000	0.000000	78.494728	1	0	0	0
55454	1	-1	-1	89.000748	0	0	0	55407	1.000000	0.000000	0.000000	0	0	0	0
