Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	Methylations	Demethylations	BirthRate	MigrationRate	OriginTime	Descendants
0	0	0	0	0	0	1	0	0	1.000000	0.000000	0.000000	100000
0	0	3	0	0	0	1	1	1	1.000000	0.000000	3.744789	2262
0	8	10	0	0	0	1	0	2	1.000000	0.000000	7.545466	20023
0	0	8	0	0	0	1	0	1	1.000000	0.000000	6.515078	20023
0	66	67	0	0	0	1	1	1	1.000000	0.000000	15.455483	27843
0	10	18	0	0	0	1	0	3	1.000000	0.000000	8.543475	20023
0	0	66	0	0	0	1	0	1	1.000000	0.000000	15.406797	27843
0	0	39	0	0	0	1	1	0	1.000000	0.000000	11.190991	43687
0	3	42	0	0	0	1	1	2	1.000000	0.000000	11.753849	2262
0	39	44	0	0	0	1	2	0	1.000000	0.000000	11.985186	10636
0	39	59	0	0	0	1	2	0	1.000000	0.000000	14.654920	33051
0	67	121	0	0	0	1	1	2	1.000000	0.000000	18.937599	19109
0	44	96	0	0	0	1	2	1	1.000000	0.000000	17.857935	825
0	42	72	0	0	0	1	1	3	1.000000	0.000000	15.768174	2262
0	59	77	0	0	0	1	2	1	1.000000	0.000000	16.058529	4030
0	0	89	0	0	0	1	0	1	1.000000	0.000000	17.240145	6185
0	72	127	0	0	0	1	2	3	1.000000	0.000000	19.234417	2262
0	77	94	0	0	0	1	3	1	1.000000	0.000000	17.679672	4030
0	89	95	0	0	0	1	1	1	1.000000	0.000000	17.765186	1338
0	95	98	0	0	0	1	2	1	1.000000	0.000000	18.058117	1338
0	18	164	0	0	0	1	1	3	1.000000	0.000000	21.129042	1854
0	94	109	0	0	0	1	3	2	1.000000	0.000000	18.567644	703
0	96	142	0	0	0	1	3	1	1.000000	0.000000	19.988478	825
0	127	138	0	0	0	1	2	4	1.000000	0.000000	19.792431	2262
0	67	161	0	0	0	1	1	2	1.000000	0.000000	21.005232	4718
0	216	373	0	0	0	1	5	1	1.000000	0.000000	26.224510	825
0	121	254	0	0	0	1	1	3	1.000000	0.000000	24.322165	10499
0	142	216	0	0	0	1	4	1	1.000000	0.000000	23.142874	825
0	44	199	0	0	0	1	2	1	1.000000	0.000000	22.510788	9811
0	59	206	0	0	0	1	3	0	1.000000	0.000000	22.794897	29021
0	542	564	0	0	0	1	3	3	1.000000	0.000000	30.532566	8989
0	164	235	0	0	0	1	1	4	1.000000	0.000000	23.771210	1854
0	199	218	0	0	0	1	3	1	1.000000	0.000000	23.202324	5842
0	206	230	0	0	0	1	4	0	1.000000	0.000000	23.498682	29021
0	94	221	0	0	0	1	4	1	1.000000	0.000000	23.241529	979
0	121	241	0	0	0	1	1	3	1.000000	0.000000	23.829931	8610
0	278	342	0	0	0	1	2	3	1.000000	0.000000	25.742716	4718
0	428	475	0	0	0	1	8	0	1.000000	0.000000	28.550304	4170
0	18	252	0	0	0	1	0	4	1.000000	0.000000	24.188555	7930
0	138	259	0	0	0	1	3	4	1.000000	0.000000	24.440493	1180
0	161	278	0	0	0	1	2	2	1.000000	0.000000	24.759449	4718
0	342	415	0	0	0	1	3	3	1.000000	0.000000	27.122358	4558
0	373	452	0	0	0	1	5	2	1.000000	0.000000	28.024363	825
0	230	301	0	0	0	1	5	0	1.000000	0.000000	25.175779	16348
0	89	290	0	0	0	1	0	2	1.000000	0.000000	24.988306	4847
0	301	405	0	0	0	1	6	0	1.000000	0.000000	26.884800	16348
0	337	346	0	0	0	1	4	2	1.000000	0.000000	25.797224	12673
0	221	397	0	0	0	1	5	2	1.000000	0.000000	26.744207	979
0	94	311	0	0	0	1	3	2	1.000000	0.000000	25.289923	2348
0	405	428	0	0	0	1	7	0	1.000000	0.000000	27.449974	16348
0	342	814	0	0	0	1	3	3	1.000000	0.000000	34.947006	160
0	235	327	0	0	0	1	2	4	1.000000	0.000000	25.437914	1854
0	290	381	0	0	0	1	0	3	1.000000	0.000000	26.392601	4847
0	230	337	0	0	0	1	4	1	1.000000	0.000000	25.590401	12673
0	98	568	0	0	0	1	3	1	1.000000	0.000000	30.585567	1338
0	423	448	0	0	0	1	5	4	1.000000	0.000000	27.843889	1082
0	252	815	0	0	0	1	1	4	1.000000	0.000000	34.979610	252
0	346	442	0	0	0	1	5	2	1.000000	0.000000	27.725950	12673
0	138	423	0	0	0	1	4	4	1.000000	0.000000	27.407484	1082
0	254	586	0	0	0	1	1	4	1.000000	0.000000	30.955513	1510
0	109	501	0	0	0	1	5	2	1.000000	0.000000	29.257116	703
0	626	644	0	0	0	1	0	5	1.000000	0.000000	32.475346	4560
0	564	637	0	0	0	1	3	4	1.000000	0.000000	32.259243	8989
0	442	468	0	0	0	1	6	2	1.000000	0.000000	28.357071	9711
0	537	639	0	0	0	1	3	6	1.000000	0.000000	32.343201	1147
0	254	542	0	0	0	1	2	3	1.000000	0.000000	30.015518	8989
0	327	537	0	0	0	1	3	4	1.000000	0.000000	29.983227	1854
0	428	641	0	0	0	1	7	1	1.000000	0.000000	32.348701	189
0	259	527	0	0	0	1	3	5	1.000000	0.000000	29.758905	1180
0	199	565	0	0	0	1	3	1	1.000000	0.000000	30.553894	88
0	397	561	0	0	0	1	6	2	1.000000	0.000000	30.473345	979
0	637	838	0	0	0	1	4	4	1.000000	0.000000	35.311127	2223
