Generation	X	Y	Population	NormalCells	DeathRate	Diversity	DriverDiversity	AvgMethArray
71.750458	0	0	15000	116073	100.000000	0.000000	0.000000	0.11 0.87 0.97 0.51 0.98 0.97 0.67 0.05 0.51 0.04 0.95 0.92 0.44 0.44 0.50 0.08 0.50 0.51 0.05 0.07 0.03 0.08 0.51 0.98 0.50 0.04 0.97 0.48 0.52 0.04 0.03 0.49 0.50 0.44 0.49 0.48 0.50 0.96 0.53 0.90 0.94 0.54 0.48 0.67 0.32 0.52 0.87 0.03 0.50 0.39 0.06 0.55 0.13 0.04 0.03 0.95 0.01 0.07 0.39 0.96 0.96 0.50 0.96 0.47 0.94 0.51 0.97 0.03 0.19 0.04 0.06 0.93 0.61 0.49 0.50 0.47 0.09 0.03 0.97 0.50 0.50 0.95 0.18 0.03 0.04 0.03 0.94 0.45 0.50 0.96 0.03 0.49 0.56 0.50 0.09 0.02 0.51 0.51 0.03 0.44 
74.736206	0	0	20000	111073	100.000000	0.000000	0.000000	0.11 0.86 0.97 0.51 0.97 0.97 0.67 0.05 0.50 0.05 0.94 0.92 0.44 0.44 0.50 0.07 0.50 0.50 0.05 0.07 0.04 0.08 0.50 0.97 0.51 0.04 0.97 0.48 0.52 0.04 0.03 0.48 0.50 0.44 0.48 0.48 0.50 0.96 0.53 0.90 0.94 0.53 0.48 0.67 0.32 0.52 0.87 0.03 0.50 0.39 0.06 0.54 0.13 0.04 0.03 0.95 0.01 0.07 0.39 0.96 0.95 0.50 0.95 0.47 0.94 0.51 0.97 0.04 0.19 0.05 0.06 0.93 0.61 0.49 0.50 0.47 0.09 0.03 0.96 0.50 0.50 0.95 0.17 0.03 0.04 0.03 0.95 0.45 0.50 0.96 0.04 0.49 0.57 0.50 0.09 0.03 0.50 0.50 0.04 0.45 
77.239594	0	0	25000	106073	100.000000	0.000000	0.000000	0.11 0.86 0.96 0.52 0.97 0.96 0.67 0.05 0.51 0.05 0.94 0.92 0.44 0.44 0.50 0.07 0.49 0.50 0.05 0.08 0.04 0.09 0.51 0.97 0.51 0.04 0.97 0.48 0.53 0.04 0.04 0.48 0.51 0.43 0.48 0.48 0.50 0.95 0.53 0.90 0.94 0.53 0.48 0.66 0.32 0.52 0.87 0.03 0.50 0.39 0.06 0.54 0.13 0.04 0.03 0.94 0.01 0.06 0.39 0.96 0.95 0.50 0.95 0.46 0.94 0.51 0.96 0.04 0.19 0.05 0.07 0.92 0.60 0.49 0.49 0.47 0.10 0.04 0.96 0.50 0.50 0.94 0.18 0.03 0.04 0.03 0.94 0.45 0.50 0.96 0.04 0.49 0.57 0.50 0.10 0.03 0.50 0.50 0.04 0.45 
79.619385	0	0	30000	101073	100.000000	0.000000	0.000000	0.11 0.86 0.96 0.51 0.97 0.96 0.67 0.05 0.50 0.06 0.94 0.91 0.44 0.44 0.50 0.08 0.49 0.50 0.05 0.08 0.04 0.09 0.51 0.97 0.52 0.05 0.97 0.48 0.53 0.04 0.04 0.48 0.50 0.44 0.48 0.48 0.50 0.95 0.53 0.90 0.93 0.53 0.48 0.67 0.32 0.51 0.87 0.04 0.49 0.39 0.07 0.54 0.13 0.05 0.03 0.94 0.01 0.06 0.39 0.96 0.95 0.50 0.95 0.46 0.94 0.51 0.96 0.04 0.20 0.05 0.07 0.92 0.60 0.49 0.49 0.47 0.10 0.04 0.96 0.50 0.50 0.94 0.18 0.03 0.04 0.03 0.94 0.45 0.50 0.95 0.05 0.49 0.56 0.50 0.09 0.03 0.50 0.50 0.04 0.45 
80.000633	0	0	30854	100219	100.000000	0.000000	0.000000	0.11 0.86 0.96 0.51 0.97 0.96 0.67 0.05 0.50 0.06 0.94 0.91 0.44 0.44 0.50 0.08 0.49 0.50 0.05 0.08 0.04 0.09 0.51 0.97 0.52 0.05 0.97 0.48 0.53 0.04 0.04 0.48 0.50 0.44 0.48 0.48 0.50 0.95 0.53 0.90 0.93 0.53 0.48 0.67 0.32 0.51 0.87 0.04 0.49 0.39 0.07 0.54 0.13 0.05 0.03 0.94 0.01 0.07 0.39 0.96 0.94 0.50 0.95 0.46 0.94 0.51 0.96 0.04 0.20 0.05 0.07 0.92 0.60 0.49 0.49 0.47 0.10 0.04 0.96 0.50 0.50 0.94 0.18 0.03 0.04 0.03 0.94 0.45 0.50 0.95 0.05 0.49 0.56 0.50 0.09 0.03 0.50 0.50 0.04 0.44 
81.802231	0	0	35000	96073	100.000000	0.000000	0.000000	0.11 0.86 0.96 0.51 0.97 0.96 0.67 0.05 0.50 0.06 0.94 0.91 0.44 0.44 0.50 0.08 0.49 0.50 0.05 0.08 0.04 0.09 0.50 0.97 0.52 0.05 0.96 0.48 0.53 0.04 0.04 0.48 0.50 0.44 0.48 0.48 0.50 0.95 0.53 0.89 0.93 0.53 0.48 0.67 0.33 0.51 0.87 0.03 0.49 0.40 0.07 0.55 0.13 0.05 0.04 0.94 0.02 0.06 0.39 0.95 0.94 0.50 0.95 0.46 0.94 0.51 0.96 0.04 0.20 0.05 0.07 0.92 0.60 0.49 0.49 0.47 0.10 0.04 0.96 0.50 0.50 0.94 0.18 0.03 0.04 0.04 0.94 0.45 0.50 0.95 0.05 0.49 0.56 0.50 0.09 0.03 0.50 0.50 0.04 0.45 
83.625473	0	0	40000	91073	100.000000	0.000000	0.000000	0.11 0.86 0.96 0.51 0.97 0.96 0.67 0.05 0.50 0.06 0.93 0.91 0.44 0.44 0.50 0.08 0.49 0.50 0.06 0.08 0.04 0.09 0.50 0.97 0.51 0.05 0.96 0.48 0.53 0.04 0.04 0.48 0.50 0.44 0.48 0.48 0.50 0.94 0.53 0.89 0.93 0.54 0.48 0.67 0.33 0.51 0.87 0.04 0.49 0.40 0.07 0.55 0.13 0.05 0.04 0.94 0.02 0.07 0.39 0.95 0.94 0.50 0.95 0.46 0.94 0.51 0.96 0.04 0.20 0.05 0.07 0.92 0.60 0.49 0.49 0.47 0.10 0.04 0.96 0.50 0.50 0.94 0.18 0.04 0.05 0.04 0.93 0.45 0.50 0.95 0.05 0.49 0.56 0.50 0.10 0.03 0.50 0.50 0.05 0.45 
85.569412	0	0	45000	86073	100.000000	0.000000	0.000000	0.12 0.86 0.96 0.51 0.97 0.96 0.67 0.06 0.50 0.06 0.93 0.91 0.44 0.44 0.50 0.08 0.49 0.50 0.06 0.09 0.04 0.09 0.51 0.96 0.51 0.05 0.96 0.48 0.53 0.05 0.04 0.48 0.51 0.44 0.48 0.48 0.50 0.94 0.53 0.89 0.93 0.53 0.48 0.67 0.33 0.51 0.87 0.04 0.49 0.40 0.07 0.55 0.14 0.05 0.04 0.94 0.02 0.07 0.39 0.95 0.94 0.50 0.94 0.46 0.94 0.51 0.96 0.04 0.20 0.06 0.08 0.91 0.60 0.49 0.49 0.47 0.10 0.05 0.96 0.50 0.50 0.93 0.19 0.04 0.04 0.04 0.93 0.45 0.50 0.95 0.05 0.49 0.56 0.50 0.10 0.03 0.50 0.50 0.05 0.45 
87.211830	0	0	50000	81073	100.000000	0.000000	0.000000	0.12 0.86 0.96 0.51 0.97 0.96 0.66 0.06 0.50 0.07 0.93 0.91 0.44 0.44 0.50 0.09 0.49 0.50 0.06 0.09 0.04 0.09 0.51 0.96 0.51 0.05 0.96 0.48 0.53 0.05 0.04 0.48 0.51 0.44 0.48 0.48 0.50 0.94 0.53 0.89 0.93 0.53 0.48 0.67 0.33 0.51 0.87 0.04 0.49 0.40 0.07 0.54 0.14 0.05 0.04 0.93 0.02 0.07 0.39 0.95 0.94 0.50 0.94 0.46 0.94 0.51 0.96 0.04 0.20 0.06 0.08 0.91 0.60 0.49 0.49 0.47 0.10 0.05 0.95 0.50 0.50 0.93 0.19 0.04 0.05 0.04 0.93 0.45 0.50 0.95 0.05 0.49 0.56 0.50 0.10 0.04 0.50 0.50 0.05 0.45 
88.861115	0	0	55000	76073	100.000000	0.000000	0.000000	0.12 0.85 0.96 0.51 0.96 0.96 0.66 0.06 0.50 0.07 0.93 0.91 0.44 0.45 0.50 0.08 0.49 0.51 0.06 0.09 0.05 0.09 0.50 0.96 0.51 0.06 0.96 0.48 0.53 0.05 0.04 0.48 0.51 0.44 0.48 0.48 0.50 0.94 0.53 0.89 0.92 0.53 0.48 0.67 0.33 0.51 0.86 0.04 0.49 0.40 0.07 0.54 0.14 0.05 0.05 0.93 0.02 0.07 0.39 0.95 0.94 0.50 0.94 0.46 0.94 0.51 0.96 0.04 0.20 0.06 0.08 0.91 0.60 0.49 0.49 0.47 0.11 0.05 0.95 0.50 0.50 0.93 0.19 0.04 0.05 0.04 0.93 0.45 0.50 0.95 0.06 0.49 0.56 0.50 0.11 0.04 0.50 0.50 0.05 0.45 
