Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Methylations	Demethylations	Drivers	VarMethylations	VarDemethylations	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
0.000000	1	0	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
1.000046	2	2	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1	1	1	1	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0
2.000052	3	4	2	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1	1	1	1	1	2	1	2	3	0	0	0	0	0	0	0	0	0	0
3.000077	5	8	4	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1	1	1	1	1	2	1	2	5	0	0	0	0	0	0	0	0	0	0
4.000078	6	13	8	0	0.500000	0.333333	0.000000	0.250000	0.222222	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3	3	1	1	1	3	1	4	6	0	0	0	0	0	0	0	0	0	0
5.000096	14	28	15	0	0.571429	0.500000	0.000000	0.244898	0.250000	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4	4	1	1	1	4	1	6	14	0	0	0	0	0	0	0	0	0	0
6.000100	9	32	24	0	0.666667	0.444444	0.000000	0.222222	0.246914	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3	3	1	1	1	5	1	7	9	0	0	0	0	0	0	0	0	0	0
7.000104	17	48	32	0	0.588235	0.529412	0.000000	0.242215	0.249135	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4	4	1	1	1	5	1	9	17	0	0	0	0	0	0	0	0	0	0
8.000135	21	64	44	0	0.761905	1.047619	0.000000	0.181406	0.426304	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8	8	1	1	1	9	1	15	21	0	0	0	0	0	0	0	0	0	0
9.000139	32	93	62	0	0.937500	0.875000	0.000000	0.246094	0.734375	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	12	12	1	1	1	14	1	23	32	0	0	0	0	0	0	0	0	0	0
10.000140	36	128	93	0	0.944444	0.861111	0.000000	0.385803	0.730710	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	14	14	1	1	1	15	1	29	36	0	0	0	0	0	0	0	0	0	0
11.000152	49	172	124	0	1.122449	1.224490	0.000000	0.678884	0.990421	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	16	16	1	1	1	20	1	38	49	0	0	0	0	0	0	0	0	0	0
12.000153	47	213	167	0	1.191489	0.957447	0.000000	0.622906	1.104572	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	17	17	1	1	1	23	1	45	47	0	0	0	0	0	0	0	0	0	0
13.000153	43	249	207	0	1.069767	0.674419	0.000000	0.623039	1.056787	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	15	15	1	1	1	25	1	50	43	0	0	0	0	0	0	0	0	0	0
14.000156	38	284	247	0	0.921053	1.315789	0.000000	0.493767	2.742382	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	15	15	1	1	1	28	1	58	38	0	0	0	0	0	0	0	0	0	0
15.000181	32	318	287	0	0.843750	1.125000	0.000000	0.506836	2.359375	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	10	10	1	1	1	28	1	61	32	0	0	0	0	0	0	0	0	0	0
16.000191	46	367	322	0	1.130435	0.891304	0.000000	0.678639	1.879490	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	18	18	1	1	1	33	1	75	46	0	0	0	0	0	0	0	0	0	0
17.000200	49	421	373	0	1.163265	1.040816	0.000000	0.708038	2.488130	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	23	23	1	1	1	40	1	87	49	0	0	0	0	0	0	0	0	0	0
18.000202	80	504	425	0	1.262500	1.425000	0.000000	0.743594	3.194375	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	24	24	1	1	1	45	1	98	80	0	0	0	0	0	0	0	0	0	0
19.000216	114	613	500	0	1.289474	1.543860	0.000000	0.942521	2.686673	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	39	39	1	1	1	63	1	123	114	0	0	0	0	0	0	0	0	0	0
20.000227	101	701	601	0	1.435644	1.584158	0.000000	0.899324	2.955789	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	43	43	1	1	1	70	1	144	101	0	0	0	0	0	0	0	0	0	0
21.000227	110	801	692	0	1.572727	1.836364	0.000000	1.153802	3.318676	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	42	42	1	1	1	78	1	161	110	0	0	0	0	0	0	0	0	0	0
22.000229	133	916	784	0	1.511278	1.984962	0.000000	1.182204	2.871954	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	46	46	1	1	1	85	1	180	133	0	0	0	0	0	0	0	0	0	0
23.000233	164	1082	919	0	1.676829	2.146342	0.000000	1.779707	2.832242	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	59	59	1	1	1	104	1	212	164	0	0	0	0	0	0	0	0	0	0
24.000244	195	1274	1080	0	1.928205	2.153846	0.000000	1.871768	2.766075	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	65	65	1	1	1	118	1	246	195	0	0	0	0	0	0	0	0	0	0
25.000244	229	1505	1277	0	1.960699	2.362445	0.000000	1.950421	3.401384	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	83	83	1	1	1	144	1	291	229	0	0	0	0	0	0	0	0	0	0
26.000250	288	1798	1511	0	2.121528	2.274306	0.000000	2.481760	2.379617	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	108	108	1	1	1	181	1	362	288	0	0	0	0	0	0	0	0	0	0
27.000252	279	2051	1773	0	2.240143	2.290323	0.000000	2.390361	1.947971	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	109	109	1	1	1	197	1	412	279	0	0	0	0	0	0	0	0	0	0
28.000263	289	2325	2037	0	2.259516	2.363322	0.000000	2.399780	1.643083	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	99	99	1	1	1	201	1	451	289	0	0	0	0	0	0	0	0	0	0
29.000265	284	2574	2291	0	2.348592	2.422535	0.000000	2.677781	1.532732	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	108	108	1	1	1	220	1	491	284	0	0	0	0	0	0	0	0	0	0
30.000267	286	2826	2541	0	2.286713	2.611888	0.000000	3.456260	1.384334	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	105	105	1	1	1	231	1	540	286	0	0	0	0	0	0	0	0	0	0
31.000271	284	3083	2800	0	2.302817	2.559859	0.000000	3.640698	1.422473	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	110	110	1	1	1	243	1	588	284	0	0	0	0	0	0	0	0	0	0
32.000275	292	3360	3069	0	2.698630	2.537671	0.000000	3.648901	1.652691	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	96	96	1	1	1	248	1	623	292	0	0	0	0	0	0	0	0	0	0
33.000275	329	3669	3341	0	2.653496	2.805471	0.000000	3.916410	2.101977	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	121	121	1	1	1	277	1	681	329	0	0	0	0	0	0	0	0	0	0
34.000278	378	4037	3660	0	2.743386	3.037037	0.000000	3.672245	2.379580	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	127	127	1	1	1	300	1	751	378	0	0	0	0	0	0	0	0	0	0
