Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	Methylations	Demethylations	BirthRate	MigrationRate	OriginTime	Descendants
99939	0	0	0	0	0	1	0	0	1.000000	0.000000	0.000000	100000
49	0	6	6	1	0	1	0	0	1.000000	0.000000	71.373604	49
1	0	38	38	1	0	0	0	0	1.000000	0.000000	102.911186	1
2	0	33	33	1	0	0	0	0	1.000000	0.000000	100.949898	2
2	0	35	35	1	0	0	0	0	1.000000	0.000000	101.345932	2
6	0	31	31	1	0	0	0	0	1.000000	0.000000	99.940430	6
1	0	37	37	1	0	0	0	0	1.000000	0.000000	102.110542	1
