Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Methylations	Demethylations	Drivers	VarMethylations	VarDemethylations	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
21.291044	257	2143	1887	1	44.883270	47.108948	0.000000	45.978615	68.836411	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	256	256	1	2	2	2150	1	3852	257	0	0	0	0	0	0	0	0	0	0
22.292570	257	2406	2150	1	46.494164	50.326847	0.000000	53.510666	90.196663	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	257	257	1	2	2	2385	1	4330	257	0	0	0	0	0	0	0	0	0	0
23.294548	257	2641	2385	1	48.536964	51.758755	0.000000	57.104679	82.307594	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	256	256	1	2	2	2597	1	4762	257	0	0	0	0	0	0	0	0	0	0
24.295822	257	2887	2631	1	50.750973	54.027237	0.000000	60.327110	75.769707	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	257	257	1	2	2	2820	1	5211	257	0	0	0	0	0	0	0	0	0	0
25.298294	257	3182	2926	1	52.680935	56.653698	0.000000	63.322327	64.311974	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	256	256	1	2	2	3086	1	5737	257	0	0	0	0	0	0	0	0	0	0
26.301125	317	3452	3136	2	54.634068	59.583595	0.000000	55.525414	66.211487	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	316	316	1	3	3	3390	1	6235	317	0	0	0	0	0	0	0	0	0	0
27.308372	385	3779	3395	2	56.867531	61.685715	0.000000	60.956512	68.828514	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	385	385	1	3	3	3755	1	6835	385	0	0	0	0	0	0	0	0	0	0
28.310503	385	4145	3761	2	58.768829	62.355843	0.000000	75.455681	53.398018	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	384	384	1	3	3	4094	1	7509	385	0	0	0	0	0	0	0	0	0	0
29.311079	513	4610	4098	3	60.623783	65.165695	0.000000	85.946114	57.799011	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	508	508	1	4	4	4624	1	8350	513	0	0	0	0	0	0	0	0	0	0
30.313026	513	5143	4631	3	63.606239	68.397659	0.000000	75.443390	56.949112	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	512	512	1	4	4	5096	1	9308	513	0	0	0	0	0	0	0	0	0	0
31.313366	717	5766	5050	5	65.499306	70.103210	0.000000	76.983505	53.875061	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	713	713	1	6	6	5839	1	10433	717	0	0	0	0	0	0	0	0	0	0
32.314487	826	6533	5708	7	66.957626	72.116226	0.000000	95.340874	59.935593	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	825	825	1	8	8	6613	1	11814	826	0	0	0	0	0	0	0	0	0	0
33.314552	1095	7431	6337	8	68.755249	74.473061	0.000000	103.686272	64.433701	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	1095	1095	1	9	9	7686	1	13443	1095	0	0	0	0	0	0	0	0	0	0
34.315132	1236	8568	7333	9	70.752426	76.449028	0.000000	100.744370	61.926975	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	1236	1236	1	10	10	8832	1	15493	1236	0	0	0	0	0	0	0	0	0	0
35.317398	1405	9889	8485	10	73.068329	78.824196	0.000000	101.861687	62.493916	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	1402	1402	1	11	11	10186	1	17899	1405	0	0	0	0	0	0	0	0	0	0
36.318020	1494	11343	9850	11	75.297188	81.718208	0.000000	124.866226	67.558334	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	1493	1493	1	12	12	11595	1	20535	1494	0	0	0	0	0	0	0	0	0	0
37.318779	1739	13032	11294	14	77.876938	84.431282	0.000000	132.153107	74.578735	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	1736	1736	1	15	15	13328	1	23591	1739	0	0	0	0	0	0	0	0	0	0
38.318958	2096	14869	12774	17	80.556778	87.146950	0.000000	127.695488	89.241768	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	2093	2092	1	18	18	15342	1	26949	2096	0	0	0	0	0	0	0	0	0	0
39.319523	2305	17052	14748	17	82.615181	89.748810	0.000000	124.231491	93.914757	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	2299	2299	1	18	18	17502	1	30920	2305	0	0	0	0	0	0	0	0	0	0
40.319614	2729	19508	16780	23	84.438255	91.874680	0.000000	123.648911	102.539093	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	2721	2721	1	24	24	20130	1	35393	2729	0	0	0	0	0	0	0	0	0	0
41.320084	3353	22558	19206	28	86.550255	93.698479	0.000000	125.254845	104.252899	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	3342	3341	1	29	29	23437	1	40914	3353	0	0	0	0	0	0	0	0	0	0
42.320175	3907	26203	22297	32	89.216026	96.002045	0.000000	140.745956	108.575218	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	3903	3903	1	33	33	27299	1	47607	3907	0	0	0	0	0	0	0	0	0	0
43.320175	4700	30509	25810	37	90.977020	98.191490	0.000000	151.155167	106.592049	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	4685	4685	1	38	38	31954	1	55481	4700	0	0	0	0	0	0	0	0	0	0
44.320652	5080	35431	30352	42	93.242523	100.640358	0.000000	161.481216	108.441116	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	5068	5067	1	43	43	36748	1	64425	5080	0	0	0	0	0	0	0	0	0	0
45.320877	5934	40765	34832	49	94.699532	102.739128	0.000000	173.176636	112.015480	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	5928	5928	1	50	50	42363	1	74131	5934	0	0	0	0	0	0	0	0	0	0
46.320889	6919	47090	40172	58	96.879463	105.310158	0.000000	180.351608	115.687210	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	6905	6904	1	59	59	48970	1	85612	6919	0	0	0	0	0	0	0	0	0	0
47.320904	8192	54528	46337	68	99.130737	107.913330	0.000000	192.024368	119.545883	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	8172	8172	1	69	69	56927	1	99181	8192	0	0	0	0	0	0	0	0	0	0
48.320911	9218	63315	54098	78	101.674980	110.536667	0.000108	198.224716	122.584442	0.000108	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	9195	9195	2	79	79	65777	2	115083	9217	1	0	0	0	0	0	0	0	0	0
49.321003	10722	73478	62757	86	103.609306	112.742676	0.000000	206.444458	124.983154	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	10692	10691	1	87	87	76372	2	133564	10722	0	0	0	0	0	0	0	0	0	0
50.321033	12559	84983	72425	104	106.084641	115.229797	0.000000	205.257034	127.338524	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	12532	12531	1	105	105	88486	2	154465	12559	0	0	0	0	0	0	0	0	0	0
50.867428	13756	92047	78292	119	107.424759	116.702751	0.000073	207.442719	127.160378	0.000073	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	13729	13728	2	120	120	95999	2	167305	13755	1	0	0	0	0	0	0	0	0	0
