Deme	Population	X	Y	AverageArray
0	112	46	39	0.50 1.00 0.50 0.00 1.00 1.00 0.00 0.50 0.50 0.50 0.50 0.00 0.00 1.00 0.00 0.50 0.50 0.00 1.00 0.50 0.50 0.50 0.50 0.00 0.50 0.50 0.50 0.50 0.00 0.50 0.50 1.00 1.00 0.00 0.00 1.00 0.50 0.00 0.00 1.00 0.50 0.50 0.50 0.00 0.00 0.50 1.00 0.50 0.50 1.00 0.00 0.00 0.50 1.00 0.50 0.50 0.50 0.50 1.00 0.50 1.00 0.00 0.00 0.50 0.50 1.00 1.00 0.00 0.00 0.50 1.00 1.00 0.50 0.50 0.50 0.00 0.50 0.00 0.50 0.00 0.00 0.00 0.50 0.50 0.50 0.00 0.50 1.00 1.00 1.00 0.50 0.50 0.50 0.50 0.50 1.00 1.00 0.50 0.00 0.00 0.00 0.50 1.00 0.50 0.50 0.50 1.00 0.50 0.00 1.00 0.50 0.00 0.50 0.00 0.50 0.00 0.50 0.50 0.00 1.00 0.00 0.50 0.00 0.50 0.50 0.50 1.00 0.50 0.50 0.00 0.50 1.00 0.00 0.50 0.50 1.00 0.00 0.00 0.50 1.00 0.00 0.00 0.50 0.00 0.50 0.50 0.50 0.00 0.00 1.00 0.50 0.50 1.00 0.00 0.50 1.00 0.50 1.00 0.50 1.00 1.00 0.00 0.00 0.50 1.00 0.50 0.50 0.50 0.50 0.50 1.00 0.00 0.50 0.50 0.50 1.00 1.00 1.00 1.00 0.50 0.50 0.00 0.50 0.00 1.00 1.00 0.50 0.00 1.00 1.00 0.50 0.50 0.50 0.50 0.00 0.50 0.50 0.50 1.00 0.50 0.50 0.50 1.00 0.50 0.50 0.50 0.50 0.50 1.00 0.00 1.00 0.00 0.50 1.00 1.00 0.50 0.50 0.00 0.50 0.50 0.50 0.50 1.00 0.00 0.50 0.00 0.50 0.50 1.00 1.00 1.00 0.00 0.50 0.50 0.00 0.50 0.50 1.00 0.50 1.00 0.50 0.00 0.50 0.50 0.00 1.00 0.50 0.00 0.00 0.00 1.00 0.00 0.00 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 1.00 0.50 0.50 0.00 1.00 1.00 0.00 0.00 1.00 0.00 0.50 1.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.50 0.50 0.50 0.00 1.00 0.50 1.00 0.50 0.00 0.00 1.00 1.00 0.00 1.00 0.50 0.50 0.50 0.00 1.00 1.00 0.50 1.00 1.00 0.50 0.00 0.50 0.50 1.00 0.00 0.50 0.50 0.50 0.00 1.00 0.00 0.50 0.50 0.00 0.50 1.00 0.50 0.50 1.00 0.50 0.50 0.50 0.00 1.00 1.00 1.00 1.00 0.00 0.50 0.50 0.00 0.00 0.50 0.50 1.00 0.50 0.50 1.00 0.00 1.00 0.00 1.00 0.50 0.50 1.00 1.00 1.00 0.00 0.50 0.50 0.50 1.00 0.50 0.50 1.00 0.00 1.00 0.00 1.00 0.50 0.00 0.50 0.00 0.50 0.50 0.50 0.50 0.00 0.50 0.00 1.00 0.00 1.00 1.00 0.50 0.00 0.50 1.00 0.50 0.50 0.00 0.50 0.00 0.50 1.00 0.50 0.50 0.50 0.00 0.00 1.00 0.50 1.00 0.50 1.00 0.50 0.00 0.50 0.00 0.50 1.00 0.50 0.00 1.00 1.00 1.00 0.00 0.50 0.50 0.50 0.50 0.50 0.00 0.50 0.50 0.00 0.50 0.50 1.00 0.50 1.00 0.00 0.50 0.00 0.50 0.50 0.50 0.50 0.50 0.50 0.00 0.50 0.00 0.50 0.50 0.50 0.50 0.50 0.50 0.00 0.50 0.00 0.50 0.50 0.50 0.50 0.00 1.00 0.50 0.50 1.00 0.50 0.00 0.50 0.00 1.00 0.50 0.50 1.00 0.50 1.00 0.00 0.50 0.50 0.00 0.00 0.50 0.50 1.00 1.00 1.00 0.50 0.00 0.00 0.50 1.00 1.00 0.00 0.50 0.50 0.00 0.50 0.00 0.50 0.50 0.00 0.00 0.50 1.00 1.00 0.50 0.50 1.00 0.50 1.00 1.00 0.00 1.00 0.00 0.50 0.00 0.50 1.00 0.50 0.50 0.00 0.00 1.00 0.50 0.00 0.00 0.00 0.50 0.50 1.00 0.50 0.50 1.00 0.50 0.50 1.00 1.00 0.50 0.00 0.00 0.00 0.50 0.50 1.00 0.50 0.00 1.00 0.50 1.00 0.00 0.00 1.00 0.50 0.00 1.00 0.00 0.50 0.00 1.00 0.00 1.00 0.00 0.00 0.50 0.50 1.00 0.50 0.50 0.50 1.00 1.00 0.00 1.00 0.50 1.00 0.00 1.00 1.00 0.50 0.00 0.50 0.00 0.50 0.50 1.00 0.00 0.50 1.00 1.00 0.50 0.50 1.00 0.50 0.00 0.50 1.00 0.50 0.50 0.00 0.50 0.50 0.00 0.50 0.00 0.50 0.50 0.50 0.50 1.00 1.00 0.00 1.00 0.50 1.00 0.50 1.00 0.50 0.50 0.50 0.50 1.00 0.50 1.00 0.50 0.00 0.50 0.50 1.00 0.50 0.50 1.00 0.00 0.50 0.50 0.50 0.00 0.50 0.00 1.00 0.50 0.00 0.00 0.50 0.50 0.50 1.00 1.00 1.00 1.00 0.50 0.50 1.00 0.00 0.00 0.00 0.50 1.00 0.00 0.50 0.00 0.50 0.00 1.00 0.50 0.50 0.00 0.00 0.50 0.50 0.50 0.50 0.50 0.50 1.00 0.00 0.00 0.00 0.50 0.50 0.50 0.50 0.50 0.00 0.50 1.00 0.50 1.00 0.50 0.00 1.00 0.50 1.00 0.50 0.00 0.50 0.00 0.00 0.50 0.50 1.00 1.00 0.00 0.50 0.50 1.00 0.50 0.50 1.00 1.00 1.00 0.50 0.50 1.00 0.50 0.50 0.50 0.00 0.50 0.50 0.50 0.50 1.00 0.00 0.50 0.00 0.50 0.00 1.00 0.50 0.00 0.50 0.50 0.50 0.50 0.00 0.50 0.50 0.50 0.00 1.00 1.00 0.00 0.00 1.00 1.00 1.00 0.00 0.50 0.00 0.50 1.00 1.00 0.50 0.50 1.00 0.00 1.00 0.00 0.50 0.50 0.50 0.50 0.00 0.50 1.00 0.00 0.00 0.50 0.00 1.00 0.50 0.50 0.50 0.50 0.50 0.00 0.00 0.50 1.00 0.50 1.00 0.00 0.50 0.50 1.00 0.50 0.50 0.00 0.50 1.00 1.00 0.50 0.00 0.50 0.00 0.00 0.50 1.00 0.50 1.00 0.50 0.50 1.00 0.50 0.50 0.50 0.50 0.50 0.50 0.50 1.00 0.50 0.50 0.00 1.00 0.50 1.00 1.00 0.00 0.50 0.50 0.00 1.00 0.50 0.00 1.00 1.00 0.50 0.50 0.50 1.00 1.00 0.50 0.00 1.00 1.00 0.00 0.00 0.50 0.50 0.50 1.00 0.50 0.50 0.50 0.00 0.00 0.50 0.50 1.00 0.50 0.00 0.50 1.00 1.00 0.00 0.50 0.50 0.50 1.00 1.00 0.50 1.00 0.00 0.00 0.50 0.50 0.00 0.50 1.00 0.50 1.00 0.50 1.00 0.50 1.00 1.00 0.00 0.00 0.50 0.50 1.00 0.50 0.50 0.50 0.50 0.50 0.00 0.00 0.50 0.00 0.00 0.50 0.50 0.00 0.50 1.00 0.50 0.00 0.50 1.00 0.00 1.00 1.00 1.00 0.00 1.00 0.50 0.50 0.50 0.00 0.50 0.50 0.00 0.00 0.50 0.00 0.50 0.00 0.00 1.00 0.00 0.50 0.50 0.50 0.00 0.00 0.00 1.00 0.50 0.00 1.00 0.50 0.50 0.50 0.00 0.50 0.50 0.50 0.50 0.50 1.00 1.00 0.50 1.00 1.00 0.00 0.50 0.50 0.50 1.00 0.50 0.00 0.50 0.00 1.00 1.00 0.00 0.00 0.50 0.50 0.50 0.00 0.50 0.50 1.00 0.00 0.00 1.00 0.50 1.00 0.00 0.00 0.50 1.00 0.00 0.50 0.00 1.00 1.00 0.50 0.50 1.00 1.00 0.50 1.00 0.50 0.00 0.50 0.00 0.50 0.50 0.50 0.50 0.50 0.00 0.00 0.50 1.00 0.50 1.00 0.00 0.00 0.00 1.00 0.50 0.50 0.50 0.50 1.00 0.50 
1	128	41	39	0.50 1.00 0.50 0.00 1.00 1.00 0.00 0.50 0.50 0.50 0.50 0.00 0.00 1.00 0.00 0.50 0.50 0.00 1.00 0.50 0.50 0.50 0.50 0.00 0.50 0.50 0.50 0.50 0.00 0.50 0.50 1.00 1.00 0.00 0.00 1.00 0.50 0.00 0.00 1.00 0.50 0.50 0.50 0.00 0.00 0.50 1.00 0.50 0.50 1.00 0.00 0.00 0.50 1.00 0.50 0.50 0.50 0.50 1.00 0.50 1.00 0.00 0.00 0.50 0.50 1.00 1.00 0.00 0.00 0.50 1.00 1.00 0.50 0.50 0.50 0.00 0.50 0.00 0.50 0.00 0.00 0.00 0.50 0.50 0.50 0.00 0.50 1.00 1.00 1.00 0.50 0.50 0.50 0.50 0.50 1.00 1.00 0.50 0.00 0.00 0.00 0.50 1.00 0.50 0.50 0.50 1.00 0.50 0.00 1.00 0.50 0.00 0.50 0.00 0.50 0.00 0.50 0.50 0.00 1.00 0.00 0.50 0.00 0.50 0.50 0.50 1.00 0.50 0.50 0.00 0.50 1.00 0.00 0.50 0.50 1.00 0.00 0.00 0.50 1.00 0.00 0.00 0.50 0.00 0.50 0.50 0.50 0.00 0.00 1.00 0.50 0.50 1.00 0.00 0.50 1.00 0.50 1.00 0.50 1.00 1.00 0.00 0.00 0.50 1.00 0.50 0.50 0.50 0.50 0.50 1.00 0.00 0.50 0.50 0.50 1.00 1.00 1.00 1.00 0.50 0.50 0.00 0.50 0.00 1.00 1.00 0.50 0.00 1.00 1.00 0.50 0.50 0.50 0.50 0.00 0.50 0.50 0.50 1.00 0.50 0.50 0.50 1.00 0.50 0.50 0.50 0.50 0.50 1.00 0.00 1.00 0.00 0.50 1.00 1.00 0.50 0.50 0.00 0.50 0.50 0.50 0.50 1.00 0.00 0.50 0.00 0.50 0.50 1.00 1.00 1.00 0.00 0.50 0.50 0.00 0.50 0.50 1.00 0.50 1.00 0.50 0.00 0.50 0.50 0.00 1.00 0.50 0.00 0.00 0.00 1.00 0.00 0.00 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 1.00 0.50 0.50 0.00 1.00 1.00 0.00 0.00 1.00 0.00 0.50 1.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.50 0.50 0.50 0.00 1.00 0.50 1.00 0.50 0.00 0.00 1.00 1.00 0.00 1.00 0.50 0.50 0.50 0.00 1.00 1.00 0.50 1.00 1.00 0.50 0.00 0.50 0.50 1.00 0.00 0.50 0.50 0.50 0.00 1.00 0.00 0.50 0.50 0.00 0.50 1.00 0.50 0.50 1.00 0.50 0.50 0.50 0.00 1.00 1.00 1.00 1.00 0.00 0.50 0.50 0.00 0.00 0.50 0.50 1.00 0.50 0.50 1.00 0.00 1.00 0.00 1.00 0.50 0.50 1.00 1.00 1.00 0.00 0.50 0.50 0.50 1.00 0.50 0.50 1.00 0.00 1.00 0.00 1.00 0.50 0.00 0.50 0.00 0.50 0.50 0.50 0.50 0.00 0.50 0.00 1.00 0.00 1.00 1.00 0.50 0.00 0.50 1.00 0.50 0.50 0.00 0.50 0.00 0.50 1.00 0.50 0.50 0.50 0.00 0.00 1.00 0.50 1.00 0.50 1.00 0.50 0.00 0.50 0.00 0.50 1.00 0.50 0.00 1.00 1.00 1.00 0.00 0.50 0.50 0.50 0.50 0.50 0.00 0.50 0.50 0.00 0.50 0.50 1.00 0.50 1.00 0.00 0.50 0.00 0.50 0.50 0.50 0.50 0.50 0.50 0.00 0.50 0.00 0.50 0.50 0.50 0.50 0.50 0.50 0.00 0.50 0.00 0.50 0.50 0.50 0.50 0.00 1.00 0.50 0.50 1.00 0.50 0.00 0.50 0.00 1.00 0.50 0.50 1.00 0.50 1.00 0.00 0.50 0.50 0.00 0.00 0.50 0.50 1.00 1.00 1.00 0.50 0.00 0.00 0.50 1.00 1.00 0.00 0.50 0.50 0.00 0.50 0.00 0.50 0.50 0.00 0.00 0.50 1.00 1.00 0.50 0.50 1.00 0.50 1.00 1.00 0.00 1.00 0.00 0.50 0.00 0.50 1.00 0.50 0.50 0.00 0.00 1.00 0.50 0.00 0.00 0.00 0.50 0.50 1.00 0.50 0.50 1.00 0.50 0.50 1.00 1.00 0.50 0.00 0.00 0.00 0.50 0.50 1.00 0.50 0.00 1.00 0.50 1.00 0.00 0.00 1.00 0.50 0.00 1.00 0.00 0.50 0.00 1.00 0.00 1.00 0.00 0.00 0.50 0.50 1.00 0.50 0.50 0.50 1.00 1.00 0.00 1.00 0.50 1.00 0.00 1.00 1.00 0.50 0.00 0.50 0.00 0.50 0.50 1.00 0.00 0.50 1.00 1.00 0.50 0.50 1.00 0.50 0.00 0.50 1.00 0.50 0.50 0.00 0.50 0.50 0.00 0.50 0.00 0.50 0.50 0.50 0.50 1.00 1.00 0.00 1.00 0.50 1.00 0.50 1.00 0.50 0.50 0.50 0.50 1.00 0.50 1.00 0.50 0.00 0.50 0.50 1.00 0.50 0.50 1.00 0.00 0.50 0.50 0.50 0.00 0.50 0.00 1.00 0.50 0.00 0.00 0.50 0.50 0.50 1.00 1.00 1.00 1.00 0.50 0.50 1.00 0.00 0.00 0.00 0.50 1.00 0.00 0.50 0.00 0.50 0.00 1.00 0.50 0.50 0.00 0.00 0.50 0.50 0.50 0.50 0.50 0.50 1.00 0.00 0.00 0.00 0.50 0.50 0.50 0.50 0.50 0.00 0.50 1.00 0.50 1.00 0.50 0.00 1.00 0.50 1.00 0.50 0.00 0.50 0.00 0.00 0.50 0.50 1.00 1.00 0.00 0.50 0.50 1.00 0.50 0.50 1.00 1.00 1.00 0.50 0.50 1.00 0.50 0.50 0.50 0.00 0.50 0.50 0.50 0.50 1.00 0.00 0.50 0.00 0.50 0.00 1.00 0.50 0.00 0.50 0.50 0.50 0.50 0.00 0.50 0.50 0.50 0.00 1.00 1.00 0.00 0.00 1.00 1.00 1.00 0.00 0.50 0.00 0.50 1.00 1.00 0.50 0.50 1.00 0.00 1.00 0.00 0.50 0.50 0.50 0.50 0.00 0.50 1.00 0.00 0.00 0.50 0.00 1.00 0.50 0.50 0.50 0.50 0.50 0.00 0.00 0.50 1.00 0.50 1.00 0.00 0.50 0.50 1.00 0.50 0.50 0.00 0.50 1.00 1.00 0.50 0.00 0.50 0.00 0.00 0.50 1.00 0.50 1.00 0.50 0.50 1.00 0.50 0.50 0.50 0.50 0.50 0.50 0.50 1.00 0.50 0.50 0.00 1.00 0.50 1.00 1.00 0.00 0.50 0.50 0.00 1.00 0.50 0.00 1.00 1.00 0.50 0.50 0.50 1.00 1.00 0.50 0.00 1.00 1.00 0.00 0.00 0.50 0.50 0.50 1.00 0.50 0.50 0.50 0.00 0.00 0.50 0.50 1.00 0.50 0.00 0.50 1.00 1.00 0.00 0.50 0.50 0.50 1.00 1.00 0.50 1.00 0.00 0.00 0.50 0.50 0.00 0.50 1.00 0.50 1.00 0.50 1.00 0.50 1.00 1.00 0.00 0.00 0.50 0.50 1.00 0.50 0.50 0.50 0.50 0.50 0.00 0.00 0.50 0.00 0.00 0.50 0.50 0.00 0.50 1.00 0.50 0.00 0.50 1.00 0.00 1.00 1.00 1.00 0.00 1.00 0.50 0.50 0.50 0.00 0.50 0.50 0.00 0.00 0.50 0.00 0.50 0.00 0.00 1.00 0.00 0.50 0.50 0.50 0.00 0.00 0.00 1.00 0.50 0.00 1.00 0.50 0.50 0.50 0.00 0.50 0.50 0.50 0.50 0.50 1.00 1.00 0.50 1.00 1.00 0.00 0.50 0.50 0.50 1.00 0.50 0.00 0.50 0.00 1.00 1.00 0.00 0.00 0.50 0.50 0.50 0.00 0.50 0.50 1.00 0.00 0.00 1.00 0.50 1.00 0.00 0.00 0.50 1.00 0.00 0.50 0.00 1.00 1.00 0.50 0.50 1.00 1.00 0.50 1.00 0.50 0.00 0.50 0.00 0.50 0.50 0.50 0.50 0.50 0.00 0.00 0.50 1.00 0.50 1.00 0.00 0.00 0.00 1.00 0.50 0.50 0.50 0.50 1.00 0.50 
2	128	38	44	0.50 1.00 0.50 0.00 1.00 1.00 0.00 0.50 0.50 0.50 0.50 0.00 0.00 1.00 0.00 0.50 0.50 0.00 1.00 0.50 0.50 0.50 0.50 0.00 0.50 0.50 0.50 0.50 0.00 0.50 0.50 1.00 1.00 0.00 0.00 1.00 0.50 0.00 0.00 1.00 0.50 0.50 0.50 0.00 0.00 0.50 1.00 0.50 0.50 1.00 0.00 0.00 0.50 1.00 0.50 0.50 0.50 0.50 1.00 0.50 1.00 0.00 0.00 0.50 0.50 1.00 1.00 0.00 0.00 0.50 1.00 1.00 0.50 0.50 0.50 0.00 0.50 0.00 0.50 0.00 0.00 0.00 0.50 0.50 0.50 0.00 0.50 1.00 1.00 1.00 0.50 0.50 0.50 0.50 0.50 1.00 1.00 0.50 0.00 0.00 0.00 0.50 1.00 0.50 0.50 0.50 1.00 0.50 0.00 1.00 0.50 0.00 0.50 0.00 0.50 0.00 0.50 0.50 0.00 1.00 0.00 0.50 0.00 0.50 0.50 0.50 1.00 0.50 0.50 0.00 0.50 1.00 0.00 0.50 0.50 1.00 0.00 0.00 0.50 1.00 0.00 0.00 0.50 0.00 0.50 0.50 0.50 0.00 0.00 1.00 0.50 0.50 1.00 0.00 0.50 1.00 0.50 1.00 0.50 1.00 1.00 0.00 0.00 0.50 1.00 0.50 0.50 0.50 0.50 0.50 1.00 0.00 0.50 0.50 0.50 1.00 1.00 1.00 1.00 0.50 0.50 0.00 0.50 0.00 1.00 1.00 0.50 0.00 1.00 1.00 0.50 0.50 0.50 0.50 0.00 0.50 0.50 0.50 1.00 0.50 0.50 0.50 1.00 0.50 0.50 0.50 0.50 0.50 1.00 0.00 1.00 0.00 0.50 1.00 1.00 0.50 0.50 0.00 0.50 0.50 0.50 0.50 1.00 0.00 0.50 0.00 0.50 0.50 1.00 1.00 1.00 0.00 0.50 0.50 0.00 0.50 0.50 1.00 0.50 1.00 0.50 0.00 0.50 0.50 0.00 1.00 0.50 0.00 0.00 0.00 1.00 0.00 0.00 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 1.00 0.50 0.50 0.00 1.00 1.00 0.00 0.00 1.00 0.00 0.50 1.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.50 0.50 0.50 0.00 1.00 0.50 1.00 0.50 0.00 0.00 1.00 1.00 0.00 1.00 0.50 0.50 0.50 0.00 1.00 1.00 0.50 1.00 1.00 0.50 0.00 0.50 0.50 1.00 0.00 0.50 0.50 0.50 0.00 1.00 0.00 0.50 0.50 0.00 0.50 1.00 0.50 0.50 1.00 0.50 0.50 0.50 0.00 1.00 1.00 1.00 1.00 0.00 0.50 0.50 0.00 0.00 0.50 0.50 1.00 0.50 0.50 1.00 0.00 1.00 0.00 1.00 0.50 0.50 1.00 1.00 1.00 0.00 0.50 0.50 0.50 1.00 0.50 0.50 1.00 0.00 1.00 0.00 1.00 0.50 0.00 0.50 0.00 0.50 0.50 0.50 0.50 0.00 0.50 0.00 1.00 0.00 1.00 1.00 0.50 0.00 0.50 1.00 0.50 0.50 0.00 0.50 0.00 0.50 1.00 0.50 0.50 0.50 0.00 0.00 1.00 0.50 1.00 0.50 1.00 0.50 0.00 0.50 0.00 0.50 1.00 0.50 0.00 1.00 1.00 1.00 0.00 0.50 0.50 0.50 0.50 0.50 0.00 0.50 0.50 0.00 0.50 0.50 1.00 0.50 1.00 0.00 0.50 0.00 0.50 0.50 0.50 0.50 0.50 0.50 0.00 0.50 0.00 0.50 0.50 0.50 0.50 0.50 0.50 0.00 0.50 0.00 0.50 0.50 0.50 0.50 0.00 1.00 0.50 0.50 1.00 0.50 0.00 0.50 0.00 1.00 0.50 0.50 1.00 0.50 1.00 0.00 0.50 0.50 0.00 0.00 0.50 0.50 1.00 1.00 1.00 0.50 0.00 0.00 0.50 1.00 1.00 0.00 0.50 0.50 0.00 0.50 0.00 0.50 0.50 0.00 0.00 0.50 1.00 1.00 0.50 0.50 1.00 0.50 1.00 1.00 0.00 1.00 0.00 0.50 0.00 0.50 1.00 0.50 0.50 0.00 0.00 1.00 0.50 0.00 0.00 0.00 0.50 0.50 1.00 0.50 0.50 1.00 0.50 0.50 1.00 1.00 0.50 0.00 0.00 0.00 0.50 0.50 1.00 0.50 0.00 1.00 0.50 1.00 0.00 0.00 1.00 0.50 0.00 1.00 0.00 0.50 0.00 1.00 0.00 1.00 0.00 0.00 0.50 0.50 1.00 0.50 0.50 0.50 1.00 1.00 0.00 1.00 0.50 1.00 0.00 1.00 1.00 0.50 0.00 0.50 0.00 0.50 0.50 1.00 0.00 0.50 1.00 1.00 0.50 0.50 1.00 0.50 0.00 0.50 1.00 0.50 0.50 0.00 0.50 0.50 0.00 0.50 0.00 0.50 0.50 0.50 0.50 1.00 1.00 0.00 1.00 0.50 1.00 0.50 1.00 0.50 0.50 0.50 0.50 1.00 0.50 1.00 0.50 0.00 0.50 0.50 1.00 0.50 0.50 1.00 0.00 0.50 0.50 0.50 0.00 0.50 0.00 1.00 0.50 0.00 0.00 0.50 0.50 0.50 1.00 1.00 1.00 1.00 0.50 0.50 1.00 0.00 0.00 0.00 0.50 1.00 0.00 0.50 0.00 0.50 0.00 1.00 0.50 0.50 0.00 0.00 0.50 0.50 0.50 0.50 0.50 0.50 1.00 0.00 0.00 0.00 0.50 0.50 0.50 0.50 0.50 0.00 0.50 1.00 0.50 1.00 0.50 0.00 1.00 0.50 1.00 0.50 0.00 0.50 0.00 0.00 0.50 0.50 1.00 1.00 0.00 0.50 0.50 1.00 0.50 0.50 1.00 1.00 1.00 0.50 0.50 1.00 0.50 0.50 0.50 0.00 0.50 0.50 0.50 0.50 1.00 0.00 0.50 0.00 0.50 0.00 1.00 0.50 0.00 0.50 0.50 0.50 0.50 0.00 0.50 0.50 0.50 0.00 1.00 1.00 0.00 0.00 1.00 1.00 1.00 0.00 0.50 0.00 0.50 1.00 1.00 0.50 0.50 1.00 0.00 1.00 0.00 0.50 0.50 0.50 0.50 0.00 0.50 1.00 0.00 0.00 0.50 0.00 1.00 0.50 0.50 0.50 0.50 0.50 0.00 0.00 0.50 1.00 0.50 1.00 0.00 0.50 0.50 1.00 0.50 0.50 0.00 0.50 1.00 1.00 0.50 0.00 0.50 0.00 0.00 0.50 1.00 0.50 1.00 0.50 0.50 1.00 0.50 0.50 0.50 0.50 0.50 0.50 0.50 1.00 0.50 0.50 0.00 1.00 0.50 1.00 1.00 0.00 0.50 0.50 0.00 1.00 0.50 0.00 1.00 1.00 0.50 0.50 0.50 1.00 1.00 0.50 0.00 1.00 1.00 0.00 0.00 0.50 0.50 0.50 1.00 0.50 0.50 0.50 0.00 0.00 0.50 0.50 1.00 0.50 0.00 0.50 1.00 1.00 0.00 0.50 0.50 0.50 1.00 1.00 0.50 1.00 0.00 0.00 0.50 0.50 0.00 0.50 1.00 0.50 1.00 0.50 1.00 0.50 1.00 1.00 0.00 0.00 0.50 0.50 1.00 0.50 0.50 0.50 0.50 0.50 0.00 0.00 0.50 0.00 0.00 0.50 0.50 0.00 0.50 1.00 0.50 0.00 0.50 1.00 0.00 1.00 1.00 1.00 0.00 1.00 0.50 0.50 0.50 0.00 0.50 0.50 0.00 0.00 0.50 0.00 0.50 0.00 0.00 1.00 0.00 0.50 0.50 0.50 0.00 0.00 0.00 1.00 0.50 0.00 1.00 0.50 0.50 0.50 0.00 0.50 0.50 0.50 0.50 0.50 1.00 1.00 0.50 1.00 1.00 0.00 0.50 0.50 0.50 1.00 0.50 0.00 0.50 0.00 1.00 1.00 0.00 0.00 0.50 0.50 0.50 0.00 0.50 0.50 1.00 0.00 0.00 1.00 0.50 1.00 0.00 0.00 0.50 1.00 0.00 0.50 0.00 1.00 1.00 0.50 0.50 1.00 1.00 0.50 1.00 0.50 0.00 0.50 0.00 0.50 0.50 0.50 0.50 0.50 0.00 0.00 0.50 1.00 0.50 1.00 0.00 0.00 0.00 1.00 0.50 0.50 0.50 0.50 1.00 0.50 
